Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1674,320987,0.03,0.02,-0.38,0,0,0,-0.05,-0.1,-0.32,-0.05,-0.07,-0.25
1677,320988,-0.08,-0.1,-0.16,0,0,0,0.2,0.18,0.01,0.16,0.04,-0.18
1727,320989,-0.55,0.26,0.15,0,0,0,-0.19,-0.08,-0.2,0.57,-0.09,0.2
1729,320990,-0.88,-0.02,0.1,0,0,0,0.05,0.14,-0.41,-0.34,0.14,0.21
1731,320991,-0.14,0.03,0.43,0,0,0,0.21,0.02,-0.27,-0.13,-0.02,0.33
1734,320992,0.4,-0.02,0.26,0,0,0,-0.18,0.08,-0.51,-0.27,-0.2,-0.04
1736,320993,0.68,-0.18,0.4,0,0,0,0.11,0.06,-0.65,-0.23,-0.06,0.01
1740,320994,-0.92,-0.14,-0.03,0,0,0,-0.1,0.04,-0.26,0.65,-0.28,0.05
1742,320995,-0.21,-0.24,0.08,0,0,0,0.57,0.38,0.11,-0.01,-0.41,-0.05
1744,320996,-0.07,-0.21,0.18,0,0,0,0.32,0.13,0.01,-0.12,-0.16,0.17
1747,320997,0.04,0.14,0.25,0,0,0,-0.27,-0.03,0.68,-0.13,0.12,0.22
1749,320998,0.51,-0.05,0.39,0,0,0,-0.28,-0.01,0.33,-0.73,0.32,-0.09
1800,320999,-0.17,0.2,0.42,0,0,0,-0.12,-0.12,0.14,-0.14,0.01,0.26
1802,321000,-0.03,-0.16,-0.16,0,0,0,0.25,0.1,-0.11,-0.24,0,0.54
1805,321001,0.45,-0.22,-0.17,0,0,0,-0.14,0.15,-0.13,-0.13,-0.07,-0.33
1808,321002,0.03,-0.04,-0.2,0,0,0,-0.46,-0.17,-0.04,0.23,-0.15,-0.14
1810,321003,0.11,0.2,-0.61,0,0,0,0.23,-0.26,-0.18,0.28,0.3,0.22
1812,321004,-0.42,0.16,-0.58,0,0,0,0.32,-0.08,0.14,0.16,0.21,0.34
1815,321005,0.01,0.32,-0.19,0,0,0,-0.02,-0.13,0.24,0.02,0.12,0.32
1818,321006,0.68,0.11,-0.08,0,0,0,-0.37,-0.13,0.3,0.17,0.15,-0.07
1821,321007,0.69,-0.22,0.15,0,0,0,-0.62,0.16,0.17,-0.13,-0.2,-0.04
1823,321008,0.39,-0.17,-0.33,0,0,0,-0.01,0.14,-0.03,0.13,-0.3,-0.23
1873,321009,0.41,-0.13,0.44,0,0,0,-0.66,-0.06,-0.36,0.11,0.1,0.1
1875,321010,0.87,-0.24,-0.14,0,0,0,-0.28,-0.24,-0.22,-0.28,0.29,-0.25
1878,321011,-0.26,0.3,-0.26,0,0,0,-0.28,-0.31,0.08,0.37,0.36,-0.13
1880,321012,-0.78,0.17,-0.43,0,0,0,0.77,-0.1,-0.12,0.75,0.25,-0.41
1884,321013,-0.38,-0.11,-0.11,0,0,0,0.89,0.3,-0.29,-0.18,0.05,0.56
1886,321014,-0.21,-0.13,-0.13,0,0,0,-0.06,0.15,0.24,-0.1,-0.37,0.07
